Name,Team,Level,Age,PA,BB,K,BBK,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC1,wRAA,wOBA,wRC2,PlayerId
"Dawill Almonte","HOU","DSL",20,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,-100,"sa3019084"
"Javier Velasquez","CIN","DSL",19,29,0.10344828,0.20689655,0.5,0.15384615,0.24137931,0.15384615,0.39522546,0,2.5105874263404777,0.2,-0.5004123526159674,0.9193318282624369,-3.2556913698653096,0.21822403217184133,22.019801678579974,"sa3019089"
"Jesus Castro","SDP","DSL",17,54,0.18518519,0.24074074,0.76923077,0.23255814,0.37037037,0.27906977,0.64944014,0.04651163,5.549492853021401,0.32258065,0.31178369419649243,7.208591049765906,-0.5655900777823126,0.34346684261604593,92.72476330943572,"sa3019090"
"Ali Lucena","TOR","DSL",17,97,0.15463918,0.2371134,0.65217391,0.17948718,0.31914894,0.17948718,0.49863612,0,4.465256304266773,0.25454545,0.6332619222812355,8.141080880520413,-5.8236518856310155,0.28248419913839784,58.297434092353434,"sa3019091"
"Omar Romero","TOR","DSL",16,67,0.11940299,0.20895522,0.57142857,0.27118644,0.35820896,0.33898305,0.69719201,0.06779661,5.584469203085375,0.35555556,0.11400115210562944,9.429855379417448,-0.21588787142941354,0.3523892253192503,97.76183269847598,"sa3019092"
"Diego Gonzalez","ARI","DSL",16,64,0.21875,0.25,0.875,0.14285714,0.328125,0.14285714,0.47098214,0,1.303571455357143,0.20588235,0.023283339338377118,5.333195983866743,-3.880648315449664,0.2817490650340915,57.88241922280392,"sa3019093"
"Aneudi Escanio","TOR","DSL",17,74,0.09459459,0.28378378,0.33333333,0.1875,0.27027027,0.21875,0.48902027,0.03125,3.47042892103552,0.26666667,-1.6127367089502513,4.630373189073351,-6.0231342820112435,0.2562079655157553,43.463368300449034,"sa3019094"
"Freddy Espinal","TEX","DSL",17,36,0.11111111,0.25,0.44444444,0.16129032,0.27777778,0.22580645,0.50358423,0.06451613,6.438492035714285,0.22727273,-1.006368357455358,2.5883474668131408,-2.5944399515523378,0.2676824761761559,49.941223860372816,"sa3019095"
"Kleimer Lemos","TEX","DSL",17,146,0.05479452,0.19178082,0.28571429,0.25757576,0.29655172,0.34090909,0.63746081,0.08333333,5.130755502671385,0.30841121,-0.285714813740924,15.324748433456438,-5.694333874359113,0.30836585143516804,72.90874172826383,"sa3019096"
"Alexander Orasma","KCR","DSL",17,119,0.08403361,0.21848739,0.38461538,0.21698113,0.28205128,0.25471698,0.53676826,0.03773585,4.810871585377734,0.28395062,0.92397973802872,9.202398545947613,-7.929593198093829,0.27436660650448924,53.714703365697304,"sa3019097"
"Ryan Castillo","CHW","DSL",17,94,0.08510638,0.31914894,0.26666667,0.27380952,0.33333333,0.30952381,0.64285714,0.03571429,3.9780252728005188,0.41818182,-0.0771290073171258,11.068924428601518,-2.4639093860194534,0.3241031080163935,81.79310098852002,"sa3019098"
"Clarence Martina","WSN","DSL",17,18,0.22222222,0.22222222,1,0.08333333,0.38888889,0.08333333,0.47222222,0,2.642857142857143,0.125,0.007761113112792373,2.106601618774231,-0.48479209040850824,0.32321588529480827,81.29222554293382,"sa3019099"
"Yoanis  Aleksandrov","CHC","DSL",17,50,0.02,0.7,0.02857143,0.0212766,0.08,0.0212766,0.1012766,0,2.642857142857143,0.08333333,0.004434921778738499,-4.493188873971709,-11.691504732812652,0.06865209221839905,-62.42000159597321,"sa3019100"
"Carlos Altuve","CHC","DSL",17,69,0.05797101,0.15942029,0.36363636,0.296875,0.34782609,0.328125,0.67595109,0.03125,0.9695669779199145,0.35849057,-0.48489012639038265,8.685764757071627,-1.2479111281288744,0.3335241421180613,87.43756951051675,"sa3019101"
"Edwin Ramos","CHW","DSL",17,98,0.1122449,0.23469388,0.47826087,0.21518987,0.35051546,0.2278481,0.57836356,0.01265823,2.2944646236916078,0.29824561,-0.47158536105416715,11.039819290355778,-3.068879792972469,0.31782407244456184,78.24831492367106,"sa3019102"
