Season,Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
2022,"Drew Pomeranz","SDP","AAA",33,1.2,10.799978628200861,16.199967942301292,0.66666667,5.399989314100431,0.22222222,0.33333333,-0.11111111,0.16666667,2.3999952507113025,0,0.38461538,16.199967942301292,14.655271139187189,1.5446968031141033,9.28475057136967,"11426"
2022,"Zach Lee","COL","AAA",30,61.1,9.097826841422938,3.9619568502970863,2.2962963,1.0271739982251704,0.22962963,0.1,0.12962963,0.25619835,1.4510870768577806,0.31791908,0.61097257,5.135869991125852,4.686814319073371,0.44905567205248076,5.216673018998235,"11468"
2022,"Bryan Mitchell","MIA","A",31,0.2,13.49993200634393,13.49993200634393,1,0,0.33333333,0.33333333,0,0,1.4999924451493254,0,1,0,5.020451334156894,-5.020451334156894,7.059785932413627,"11479"
2022,"Bryan Mitchell","MIA","AAA",31,19.1,7.448277086763889,6.05172513299566,1.23076923,1.8620692716909724,0.1509434,0.12264151,0.02830189,0.38043478,2.4827590289212966,0.43055556,0.59907834,9.775863676377606,6.714534770521144,3.0613289058564614,6.93325861435445,"11479"
2022,"Bryan Mitchell","MIA","AA",31,20,7.65,2.7,2.83333333,0.9,0.1954023,0.06896552,0.12643678,0.26582278,1.35,0.31666667,0.49618321,4.95,4.38230562210083,0.5676943778991701,4.59298554956913,"11479"
2022,"Aaron Sanchez","WSN","AAA",29,15,6,3,2,1.2,0.16393443,0.08196721,0.08196722,0.30357143,1.4666666666666666,0.34090909,0.83333333,3.6,4.907637691497802,-1.3076376914978023,4.60758393406868,"11490"
2022,"Aaron Sanchez","MIN","AAA",29,47.1,6.274648561574217,2.8521129825337352,2.2,1.3309860585157431,0.16336634,0.07425743,0.08910891,0.24157303,1.2253522443478269,0.26086957,0.75174825,3.80281731004498,5.556933686355375,-1.754116376310395,5.1717188888892265,"11490"
2022,"Kaleb Cowart","NYY","CPX",30,1.1,20.250050090377258,0,3,0,0.75,0,0.75,0,0,0,1,0,-0.674726936248657,0.674726936248657,0.014172744460392295,"11494"
2022,"Kaleb Cowart","NYY","AA",30,15,8.4,9.6,0.875,0.6,0.19178082,0.21917808,-0.02739726,0.16666667,1.6666666666666667,0.20512821,0.78947368,4.2,6.214987277984619,-2.014987277984619,7.516770567496618,"11494"
2022,"Tommy Hunter","NYM","A+",35,3,6,3,2,0,0.18181818,0.09090909,0.09090909,0.1,0.6666666666666666,0.125,1,0,3.3249477068583175,-3.3249477068583175,4.808255671958129,"1157"
2022,"Tommy Hunter","NYM","AA",35,1,18,0,2,0,0.5,0,0.5,0.25,1,0.5,1,0,-0.5850127220153807,0.5850127220153807,0.963880103826523,"1157"
2022,"Tommy Hunter","NYM","AAA",35,13.2,9.21951005063172,0.6585364321879801,14,1.3170728643759602,0.2295082,0.01639344,0.21311476,0.26666667,1.2439021496884068,0.31818182,0.56338028,4.60975502531586,3.5808084061853567,1.0289466191305037,3.614506887373298,"1157"
2022,"Jose Urena","COL","AAA",30,21,6,5.142857142857143,1.16666667,0.42857142857142855,0.13861386,0.11881188,0.01980198,0.375,2.142857142857143,0.43835616,0.62780269,7.285714285714286,4.9981496538434715,2.287564631870814,5.728806926239105,"11589"
2022,"Deck McGuire","CIN","AAA",33,74,7.297297297297297,5.22972972972973,1.39534884,1.4594594594594594,0.17857143,0.12797619,0.05059524,0.25605536,1.5810810810810811,0.28571429,0.64299424,6.324324324324325,5.899529583389695,0.42479474093462954,6.048613322989361,"11596"
2022,"Heath Hembree","LAD","AAA",33,9.1,13.500004598074163,1.9285720854391661,7,1.9285720854391661,0.35897436,0.05128205,0.30769231,0.18918919,0.9642860427195831,0.23809524,0.64516129,4.821430213597916,4.283864085528365,0.5375661280695505,3.2334843024838964,"11632"
2022,"Heath Hembree","PIT","AAA",33,2,13.5,13.5,1,0,0.3,0.3,0,0.28571429,2.5,0.5,0.6,9,5.007637691497803,3.992362308502197,5.007637691497803,"11632"
2022,"Heath Hembree","LAD","CPX",33,2,18,0,4,4.5,0.57142857,0,0.57142857,0.28571429,1,0.5,1,4.5,6.75997896194458,-2.2599789619445803,0.7870552659034731,"11632"
2022,"Carlos Martinez","BOS","AAA",30,4.1,8.307698402183535,6.230773801637651,1.33333333,2.0769246005458837,0.16,0.12,0.04,0.40909091,2.7692328007278446,0.47058824,0.18867925,20.769246005458836,6.7384092923469545,14.030836713111881,5.646620944542704,"11682"
